id;start_date;end_date;language
1;2020-10-21T08:59:55;2020-10-21T06:50:10;SPANISH
2;2020-10-20T13:50:06;2020-10-21T08:54:31;SPANISH
3;2020-10-21T04:45:25;2020-10-20T15:19:34;FRENCH
4;2020-10-20T20:02:56;2020-10-21T07:34:22;FRENCH
5;2020-10-21T05:33:14;2020-10-21T10:20:13;FRENCH
6;2020-10-20T23:25:35;2020-10-21T11:33:49;FRENCH
7;2020-10-21T01:10:55;2020-10-20T19:01:46;FRENCH
8;2020-10-21T00:07:08;2020-10-21T10:23:16;SPANISH
9;2020-10-20T22:48:17;2020-10-20T19:29:40;SPANISH
10;2020-10-21T07:00:21;2020-10-20T17:34:51;SPANISH
