id;street_address;postal_code;city;state_province;location_image;location_image_content_type
1;Secured productize;schemas;Octaviafurt;olive Ghana Games;../fake-data/blob/hipster.png;image/png
2;users Savings Account;back-end green virtual;Garretside;Peso Uruguayo Uruguay Peso en Unidades Indexadas Wisconsin Frozen;../fake-data/blob/hipster.png;image/png
3;auxiliary connecting explicit;Legacy harness port;Sauerburgh;e-markets Bike parse;../fake-data/blob/hipster.png;image/png
4;Car Granite stable;Outdoors;Brennanville;Steel SCSI;../fake-data/blob/hipster.png;image/png
5;Concrete sky blue;Bolivar Fuerte backing up;Boganmouth;Forward Refined Frozen Cheese Mali;../fake-data/blob/hipster.png;image/png
6;Checking Account analyzer Licensed Fresh Salad;open-source help-desk;South Royce;Illinois Business-focused;../fake-data/blob/hipster.png;image/png
7;RAM Money Market Account;Algeria Austria solutions;New Stellashire;mobile;../fake-data/blob/hipster.png;image/png
8;redundant Pataca;turn-key Licensed;Lunamouth;fuchsia Technician;../fake-data/blob/hipster.png;image/png
9;calculating Checking Account;Movies Democratic People's Republic of Korea synthesizing;North Pete;embrace Forward;../fake-data/blob/hipster.png;image/png
10;1080p;TCP Mauritius;Ratkebury;teal;../fake-data/blob/hipster.png;image/png
